s1,gonogo,image,imagecode,correct
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Balawat1.bmp,101,Go,218,"1,5"
stimuli/Bongo5.bmp,101,Go,219,"1,5"
stimuli/Caracal1.bmp,101,Go,220,"1,5"
stimuli/Cow1.bmp,101,Go,221,"1,5"
stimuli/Deer5.bmp,101,Go,222,"1,5"
stimuli/DikDik1.bmp,101,Go,223,"1,5"
stimuli/Elephant15.bmp,101,Go,224,"1,5"
stimuli/Flamingo6.bmp,101,Go,225,"1,5"
stimuli/Fox11.bmp,101,Go,226,"1,5"
stimuli/Giraffe7.bmp,101,Go,227,"1,5"
stimuli/Kangaroo2.bmp,101,Go,228,"1,5"
stimuli/Koala11.bmp,101,Go,229,"1,5"
stimuli/Owl1.bmp,101,Go,230,"1,5"
stimuli/Panda11.bmp,101,Go,231,"1,5"
stimuli/Penguin5.bmp,101,Go,232,"1,5"
stimuli/RedPanda26.bmp,101,Go,233,"1,5"
stimuli/RedPanda27.bmp,101,Go,234,"1,5"
stimuli/Rhino12.bmp,101,Go,235,"1,5"
stimuli/Rodent5.bmp,101,Go,236,"1,5"
stimuli/SlothBear1.bmp,101,Go,237,"1,5"
stimuli/Snowcat1.bmp,101,Go,238,"1,5"
stimuli/Squirrel10.bmp,101,Go,239,"1,5"
stimuli/Tamarin10.bmp,101,Go,240,"1,5"
stimuli/Toucan1.bmp,101,Go,241,"1,5"
stimuli/Turtle1.bmp,101,Go,242,"1,5"
stimuli/Waterbuck2.bmp,101,Go,243,"1,5"
stimuli/Zebra8.bmp,101,Go,244,"1,5"
stimuli/Leopard13.bmp,101,Go,245,"1,5"
stimuli/Anoa1.bmp,101,Go,245,"1,5"
stimuli/Rhino11.bmp,101,Go,245,"1,5"
